,Overall,G0,G1,G2,M,S
RF,1.3132240798539798,1.4516239334259229,1.0389312792270935,1.4082073290338126,3.398515023471962,1.3938221574576437
Decision Tree MP,1.9546701084431921,2.0994888773774734,1.6778227100069607,2.4279336229538555,8.025017255200106,1.6165558665080653
XGBoost,1.3678185002920673,1.4903182651581175,1.1518835052162566,1.3852897804733544,3.4371501830843374,1.4437238219804691
Boosting MP,,,,,,
MLP,1.6981517739284302,1.6940704434381084,1.4314305000061145,1.9730790253475552,8.822112521081765,1.4639186274588518
MLP MP,,,,,,
