,Overall,G0,G1,G2,M,S
RF,1.3132240798539798,1.4516239334259229,1.0389312792270935,1.4082073290338126,3.398515023471962,1.3938221574576437
Decision Tree MP,1.456834743782953,1.6151182237927035,1.2024519344077105,1.539695960911188,5.524347458086624,1.409131862057827
XGBoost,1.3678185002920673,1.4903182651581175,1.1518835052162566,1.3852897804733544,3.4371501830843374,1.4437238219804691
Boosting MP,3.518540225368206,3.5923827937407995,2.964216791677359,5.854410138296667,8.585754944948505,2.2902949391334597
MLP,1.6033380909455868,1.6285499728995252,1.308954953615474,1.81508679328117,8.505171954697179,1.41762228154327
MLP MP,1.4556172948223811,1.5332183272638875,1.0718033641566995,1.5557646966929273,8.422606176216435,1.3403025866348934
